Transaction_ID,Customer_ID,Product_ID,Product_Name,Category,Brand,Price,Rating,Reviews_Count,Stock,Discount_Percentage,Region,Store_ID,Date,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Previous_Sales,Current_Sales,Sales_Growth_Percentage,Demand_Level,Inventory_Risk,Transaction_Quantity,Total_Amount,Payment_Method,Fraud_Flag,Customer_Query,AI_Recommendation
T0001,C9958,148,Dell Product 148,Mobiles,Dell,77260,4.4,2043,92,22,Delhi,15,17-01-2025,0,30,103.07,229.14,3.96,103,97,-5.83,Low,Low,1,77260,UPI,0,Is this product available?,Urgent inventory alert
T0002,C7852,123,Dell Product 123,Home,Dell,98245,4.8,2547,96,2,Chennai,11,13-01-2025,1,39.3,94.82,228.95,4.14,384,494,28.65,High,Low,3,294735,Net Banking,0,How long is delivery?,Increase marketing
T0003,C7712,112,Apple Product 112,Mobiles,Apple,68808,4,3670,43,32,Chennai,16,24-09-2025,1,30.8,96.53,208.13,7.42,331,364,9.97,Medium,High,3,206424,Credit Card,0,Can I replace damaged items?,Apply festive discount
T0004,C6430,129,Sony Product 129,Mobiles,Sony,96501,4.9,3964,46,25,Hyderabad,20,25-03-2025,0,27.3,103.28,217.04,5.77,453,479,5.74,High,High,1,96501,UPI,0,Which product is best?,Urgent inventory alert
T0005,C8203,115,Boat Product 115,Home,Boat,73435,3.6,2445,68,29,Mumbai,5,17-02-2025,1,25.4,113.55,213.66,5.2,365,322,-11.78,Medium,Low,1,73435,Net Banking,0,How long is delivery?,Restock product
T0006,C8036,131,HP Product 131,Fashion,HP,82534,3.6,1051,112,7,Chennai,19,17-02-2025,0,34.5,102.64,232.07,7.91,404,380,-5.94,Medium,Low,3,247602,UPI,0,Can I replace damaged items?,Urgent inventory alert
T0007,C8985,142,HP Product 142,Electronics,HP,55311,3.5,2244,296,11,Chennai,3,30-06-2025,1,32.3,103.1,238.07,6.97,290,344,18.62,Medium,Low,1,55311,Net Banking,0,Which product is best?,Cross-sell recommendation
T0008,C7567,150,Nike Product 150,Electronics,Nike,93964,3.7,2491,80,35,Delhi,10,18-12-2025,1,29.6,97.8,223.64,6.75,273,309,13.19,Medium,Low,4,375856,Net Banking,0,Which product is best?,Increase marketing
T0009,C5638,150,Sony Product 150,Electronics,Sony,98950,4.5,4374,55,10,Bangalore,13,01-10-2025,1,25.5,94.83,220,5.8,111,82,-26.13,Low,Low,3,296850,Credit Card,1,What is the refund policy?,Urgent inventory alert
T0010,C2106,111,Apple Product 111,Electronics,Apple,95181,4.5,1446,94,4,Hyderabad,15,20-05-2025,0,22.8,99.66,227.25,5.19,456,586,28.51,High,Low,2,190362,Credit Card,0,How long is delivery?,Apply festive discount
T0011,C3679,115,Samsung Product 115,Accessories,Samsung,9107,4.5,2983,56,29,Mumbai,18,27-02-2025,1,33.6,98.92,201.59,5.19,154,300,94.81,Medium,Low,5,45535,Credit Card,0,Can I replace damaged items?,Restock product
T0012,C3867,126,Nike Product 126,Electronics,Nike,6034,4,3304,170,8,Delhi,11,08-09-2025,0,22.1,100.8,201.8,3.98,218,290,33.03,Medium,Low,5,30170,Credit Card,1,Which product is best?,Apply festive discount
T0013,C4414,114,Sony Product 114,Home,Sony,1671,4.4,4690,204,25,Mumbai,14,02-07-2025,1,26.4,98.02,221.05,6.35,379,432,13.98,High,Low,4,6684,Net Banking,0,Can I replace damaged items?,Increase marketing
T0014,C1688,126,Dell Product 126,Home,Dell,73292,4,134,168,15,Hyderabad,13,30-12-2025,0,21.3,93.19,213.39,7.62,320,292,-8.75,Medium,Low,1,73292,Debit Card,1,What is the refund policy?,Increase marketing
T0015,C5960,144,HP Product 144,Accessories,HP,41641,4.9,4088,214,34,Bangalore,15,25-02-2025,0,32.7,111.76,208.23,3.68,314,354,12.74,Medium,Low,3,124923,Debit Card,1,How long is delivery?,Restock product
T0016,C3035,122,Apple Product 122,Home,Apple,65792,4.5,4520,120,9,Hyderabad,11,22-03-2025,1,30.5,94.88,229.73,4.99,324,375,15.74,Medium,Low,4,263168,Debit Card,0,Which product is best?,Restock product
T0017,C4366,133,HP Product 133,Home,HP,3352,3.6,4176,81,23,Delhi,2,19-05-2025,0,36.6,93.27,237.51,6.44,228,256,12.28,Medium,Low,5,16760,Debit Card,0,What is the refund policy?,Urgent inventory alert
T0018,C7629,125,Sony Product 125,Mobiles,Sony,73456,4.5,741,86,37,Hyderabad,8,27-08-2025,1,25.1,99.23,228.54,5.04,361,404,11.91,High,Low,2,146912,Net Banking,1,How long is delivery?,Cross-sell recommendation
T0019,C3168,122,Samsung Product 122,Mobiles,Samsung,35366,4.7,887,278,14,Chennai,20,26-12-2025,0,27.9,91.43,236.95,5.36,303,308,1.65,Medium,Low,3,106098,Net Banking,1,Which product is best?,Apply festive discount
